order,state,substate_region,small_area_estimate,95_ci_lower,95_ci_upper,map_group
373,South Carolina,South Carolina,0.0647563231,0.0549812143,0.0761293443,3
374,South Carolina,Region 1,0.0670883108,0.0530632198,0.0844896106,4
375,South Carolina,Region 2,0.0648767789,0.0515143637,0.0814078051,4
376,South Carolina,Region 3,0.0646730773,0.0503193953,0.0827643421,4
377,South Carolina,Region 4,0.0619718591,0.0492232163,0.0777523383,4
378,South Dakota,South Dakota,0.0548880109,0.0460371793,0.0653239302,3
379,South Dakota,Region 1,0.0542779715,0.0427915956,0.0686265378,4
380,South Dakota,Region 2,0.0521924873,0.0397955609,0.0681770457,4
381,South Dakota,Region 3,0.0526076124,0.0410603712,0.0671747546,4
382,South Dakota,Region 4,0.059882036,0.0464123409,0.0769454476,4
383,South Dakota,Region 5,0.0557086075,0.0436649033,0.0708281925,4
384,Tennessee,Tennessee,0.0690881548,0.0593121984,0.0803377944,3
385,Tennessee,Region 1,0.0700177342,0.0535033998,0.0911385535,4
386,Tennessee,Region 2,0.0716811839,0.0567394115,0.0901815384,4
387,Tennessee,Region 3,0.0708800876,0.0560673317,0.0892363453,4
388,Tennessee,Region 4 (Davidson),0.0704486171,0.0554251683,0.0891599114,4
389,Tennessee,Region 5,0.0701307896,0.0558232182,0.0877645469,4
390,Tennessee,Region 6,0.0663743944,0.0512669489,0.0855323743,4
391,Tennessee,Region 7 (Shelby),0.0623380083,0.048770009,0.079365737,4
392,Texas,Texas,0.0645616118,0.0585206797,0.0711789875,3
393,Texas,Region 1,0.074573967,0.0605885547,0.0914732367,4
394,Texas,Region 2,0.0677804697,0.053883942,0.084939127,4
395,Texas,Region 3,0.0629291501,0.0546267772,0.0723967169,4
396,Texas,Region 3a,0.0605699618,0.0506724614,0.0722535354,5
397,Texas,Region 3bc,0.0670614334,0.0553285312,0.0810688825,5
398,Texas,Region 4,0.0695342984,0.0559898593,0.0860565668,4
399,Texas,Region 5,0.0695735635,0.0553709299,0.0870833323,4
400,Texas,Region 6,0.0617497787,0.0519075207,0.0733139316,4
401,Texas,Region 6a,0.061224458,0.0507042045,0.0737578878,5
402,Texas,Region 6bc,0.0661824932,0.051993076,0.0839016183,5
403,Texas,Region 7,0.0674204304,0.0575915659,0.0787865018,4
404,Texas,Region 7a,0.0665395937,0.0545996336,0.0808672656,5
405,Texas,Region 7bcd,0.0689359919,0.0560196658,0.0845636229,5
406,Texas,Region 8,0.0656251739,0.053641411,0.0800596826,4
407,Texas,Region 9,0.0642135433,0.0515121227,0.0797833357,4
408,Texas,Region 10,0.0663595998,0.0526952861,0.0832557733,4
409,Texas,Region 11,0.0623475956,0.0518874404,0.0747501951,4
410,Texas,Region 11abd,0.06286295,0.0501537232,0.078526509,5
411,Texas,Region 11c (Hidalgo),0.0614357706,0.049072352,0.0766629434,5
412,Utah,Utah,0.0851953917,0.0735341475,0.0985092783,3
413,Utah,"Bear River, Northeastern, Summit, Tooele, and Wasatch",0.0894670198,0.0711161618,0.1119822808,4
414,Utah,"Central, Four Corners, San Juan, and Southwest",0.0817487791,0.0645791683,0.1029807127,4
415,Utah,Davis County,0.0928473033,0.0738616331,0.1161013425,4
416,Utah,Salt Lake County,0.0785342843,0.0643871277,0.0954726659,4
417,Utah,Utah County,0.096034781,0.0781408673,0.1175040213,4
418,Utah,"Weber, Morgan",0.0819209283,0.0641132328,0.1041244821,4
419,Vermont,Vermont,0.0775368269,0.0664226663,0.0903307247,3
420,Vermont,Champlain Valley,0.0743878944,0.0608015798,0.0907168788,4
421,Vermont,Rural Northeast,0.0857933159,0.0671581154,0.1089952739,4
422,Vermont,Rural Southeast,0.0755462348,0.0595047768,0.0954731961,4
423,Vermont,Rural Southwest,0.0758158536,0.0597358819,0.095783368,4
424,Virginia,Virginia,0.0714161065,0.0614506263,0.0828550241,3
425,Virginia,Region 1,0.0738125149,0.0588853501,0.0921531244,4
426,Virginia,Region 2,0.0667733051,0.0528623189,0.0840202941,4
427,Virginia,Region 3,0.0783021624,0.0619614082,0.0984998572,4
428,Virginia,Region 4,0.0711754144,0.0561340723,0.0898634181,4
429,Virginia,Region 5,0.0704258487,0.0566087109,0.087303395,4
430,Washington,Washington,0.0745568582,0.0645367332,0.0859897237,3
431,Washington,Region 1,0.0743351601,0.061617907,0.0894269818,4
432,Washington,Greater Columbia and North Central,0.0742085996,0.0593302801,0.0924512749,5
433,Washington,Spokane,0.0745162623,0.0585111655,0.0944601307,5
434,Washington,Region 2,0.0750374427,0.063013948,0.0891368556,4
435,Washington,King,0.0747637079,0.0607586478,0.0916818642,5
436,Washington,North Sound,0.0755236363,0.0601356567,0.0944534955,5
437,Washington,Region 3,0.0740136549,0.0623478967,0.0876581055,4
438,Washington,Peninsula,0.0764256979,0.059509859,0.0976506587,5
439,Washington,Pierce,0.0722353874,0.057530267,0.090338948,5
440,Washington,SW WA and Timberlands,0.0742290087,0.0581386963,0.0943264589,5
441,Washington,Thurston-Mason,0.0751874244,0.0585877071,0.096010696,5
442,West Virginia,West Virginia,0.0784987266,0.0675935917,0.0909915361,3
443,West Virginia,Region I,0.0778974516,0.0595503481,0.1012883869,4
444,West Virginia,Region II,0.0826073533,0.0647344359,0.104861641,4
445,West Virginia,Region III,0.0815100367,0.0631737659,0.1045743459,4
446,West Virginia,Region IV,0.0759928988,0.0611807189,0.0940320027,4
447,West Virginia,Region V,0.0770211532,0.0615532931,0.0959784323,4
448,West Virginia,Region VI,0.0794603502,0.0627336024,0.1001703249,4
449,Wisconsin,Wisconsin,0.0682202588,0.0580390811,0.0800356628,3
450,Wisconsin,Milwaukee,0.0664037896,0.0522691382,0.0840218727,4
451,Wisconsin,Northeastern,0.0712117861,0.0564926575,0.0894025817,4
452,Wisconsin,Northern,0.0660631462,0.0505769759,0.0858622063,4
453,Wisconsin,Southeastern,0.0682705232,0.0537051463,0.086425397,4
454,Wisconsin,Southern,0.0671120929,0.0523129686,0.085719146,4
455,Wisconsin,Western,0.0685024873,0.0530042963,0.088110642,4
456,Wyoming,Wyoming,0.0709505214,0.0612223861,0.0820892735,3
457,Wyoming,Judicial District 1 (Laramie),0.0723470731,0.0576991624,0.0903570266,4
458,Wyoming,Judicial District 2,0.0741312798,0.0592718395,0.0923502747,4
459,Wyoming,Judicial District 3,0.0710995963,0.0565466837,0.0890443702,4
460,Wyoming,Judicial District 4,0.0713984782,0.0551781223,0.0919231229,4
461,Wyoming,Judicial District 5,0.0681927476,0.0525398246,0.0880755587,4
462,Wyoming,Judicial District 6,0.0687831919,0.0537679789,0.087603338,4
463,Wyoming,Judicial District 7 (Natrona),0.0742100233,0.0578528645,0.0947269676,4
464,Wyoming,Judicial District 8,0.069264872,0.0538767028,0.0886364295,4
465,Wyoming,Judicial District 9,0.0675354048,0.052089481,0.0871404114,4
